id,subcategory,service_summary
"7b346a77-45ff-47b2-a0e9-cec313702021","New Custom Homes (Service)","New Custom Homes is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"7de5df65-6b12-4a59-9e60-671ab361dfb4","General Automotive Glass Replacement Shops","General Automotive Glass Replacement Shops is an automotive glass service that helps drivers and fleet operators restore visibility and safety by replacing damaged glass and seals. It’s commonly used for windshield replacement and chip/crack repair."
"7f2751cb-43bc-425e-962b-a689361d6732","General Retail Bakeries (Service)","General Retail Bakeries is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"807c6ff9-6b4a-4316-a04e-3af31543bcd9","General Light Truck and Utility Vehicle Manufacturing","General Light Truck and Utility Vehicle Manufacturing is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for made‑to‑spec parts, production runs, and finished goods."
"81a60496-577a-4f98-8fab-501ab25dccb8","General Nail Salons (Service)","General Nail Salons is a personal care service that helps individuals improve appearance or wellbeing through grooming, cosmetic services, or relaxation. It’s commonly used for hair, nails, lashes, skincare, and bodywork services."
"825ca8cf-a064-4ee4-8397-03a44d7fa2e8","General Sign Manufacturing (Service)","General Sign Manufacturing is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for made‑to‑spec parts, production runs, and finished goods."
"8261b8fc-7985-4302-b649-c2016c093d43","Wig & Hairpiece (Service)","Wig & Hairpiece is a personal care service that helps individuals improve appearance or wellbeing through grooming, cosmetic services, or relaxation. It’s commonly used for hair, nails, lashes, skincare, and bodywork services."
"82788674-7f68-4bbc-aa88-4a6bbda18fb1","General Glass and Glazing Contractors (Service)","General Glass and Glazing Contractors is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"8663ca43-a008-46a0-98d7-174e5cbc820c","Home Office (Service)","Home Office is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"87942b34-6594-4491-b361-b9f6869deaef","General Other Activities Related to Real Estate (Service)","General Other Activities Related to Real Estate is a real estate service that helps buyers, sellers, and landlords price, market, and transact property with clearer decisions and better outcomes. It’s commonly used for sales, leasing, and property marketing."
"87a77197-75c2-4d15-bdff-7ab1e7a1965b","Accessories","Accessories is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"88022500-603b-42ad-8730-1b231bec942f","General Interior Design Services (Service)","General Interior Design Services is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for rooms like living rooms, kitchens, bathrooms, and nurseries."
"89479f50-b9b0-402b-976f-1786449eb9e8","Bedroom","Bedroom is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for rooms like living rooms, kitchens, bathrooms, and nurseries."
"958a3700-06b2-4f3b-9d16-bd04ffe4f646","Kitchen Remodeling","Kitchen Remodeling is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for rooms like living rooms, kitchens, bathrooms, and nurseries."
"978c6db1-df45-4d37-8d05-e475138ddd0a","General Wood Kitchen Cabinet and Countertop Manufacturing (Service)","General Wood Kitchen Cabinet and Countertop Manufacturing is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for made‑to‑spec parts, production runs, and finished goods."
"97d495af-77ff-4a03-b255-563794e2616e","General Metal Household Furniture Manufacturing (Service)","General Metal Household Furniture Manufacturing is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for made‑to‑spec parts, production runs, and finished goods."
"9910b8a4-5d6d-4b4e-8b23-106dcb015f1c","General Photography Studios, Portrait","General Photography Studios, Portrait is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"995ec80c-6a6e-4b02-afe2-92581da8fc7b","General Plumbing Fixture Fitting and Trim Manufacturing (Service)","General Plumbing Fixture Fitting and Trim Manufacturing is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for made‑to‑spec parts, production runs, and finished goods."
"9996391b-498d-4ea0-9e47-8c0685f4eee1","General New Housing For-Sale Builders (Service)","General New Housing For-Sale Builders is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"9a1b2223-0d87-42ca-8802-7b5265038e00","General Structural Steel and Precast Concrete Contractors (Service)","General Structural Steel and Precast Concrete Contractors is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"9aafc9a9-8f61-4b79-94dc-50c009a421bd","Home Gym (Service)","Home Gym is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"9c181107-1c4e-4cc6-ab99-71d6217d593d","Closet & Storage Solutions (Service)","Closet & Storage Solutions is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"9caf7459-b608-4986-a763-42bb19d645b0","General Cut and Sew Apparel Contractors (Service)","General Cut and Sew Apparel Contractors is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"9cc8e30a-3350-4cab-a435-17ec2fbf0da0","General Landscape Architectural Services","General Landscape Architectural Services is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for rooms like living rooms, kitchens, bathrooms, and nurseries."
"a01b54b1-3857-4fd8-b30e-82b9a292def3","Tiny Home Layout (Service)","Tiny Home Layout is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for rooms like living rooms, kitchens, bathrooms, and nurseries."
"a0abf5f4-8053-4bb5-b80e-f612fc23e3b9","Fireplace (Service)","Fireplace is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"a2fbd9bf-fb8b-4b70-9c55-29bb022855f3","Shed (Service)","Shed is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"a6a54273-085e-47a2-9e52-f94ff38d74fc","General Solar Electric Power Generation (Service)","General Solar Electric Power Generation is an electrical and lighting service that helps homeowners and businesses power spaces safely and support lighting, devices, and modern electrical needs. It’s commonly used for repairs, upgrades, and new electrical work."
"a6d90822-2275-4e4c-beba-45bac6f75e0b","General Other Building Equipment Contractors (Service)","General Other Building Equipment Contractors is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"a92efe4c-b825-4221-b957-e638cc727601","General New Car Dealers","General New Car Dealers is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"a9c4cba4-f3f9-408e-bcde-a72308b1b142","Office Furniture","Office Furniture is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"ab2b2bdc-f4f2-4c7c-a0eb-f28ad4637390","General Wood Office Furniture Manufacturing (Service)","General Wood Office Furniture Manufacturing is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for made‑to‑spec parts, production runs, and finished goods."
"ab47800a-59a8-4f9c-9b00-341b870273fe","General Hotels (except Casino Hotels) and Motels","General Hotels (except Casino Hotels) and Motels is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"ac19223f-2d4f-4ce0-b979-00fa96df6265","Living Room Furniture","Living Room Furniture is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for rooms like living rooms, kitchens, bathrooms, and nurseries."
"ac71f930-72b6-46cd-a4fd-5ac0b4a2aa95","General RV (Recreational Vehicle) Parks and Campgrounds (Service)","General RV (Recreational Vehicle) Parks and Campgrounds is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"ae45eb98-3597-4213-8f18-70561b82c81d","General Metal Service Centers and Other Metal Merchant Wholesalers (Service)","General Metal Service Centers and Other Metal Merchant Wholesalers is a wholesale supply service that helps retailers, contractors, and businesses source the right products reliably and keep projects or shelves stocked. It’s commonly used for materials, inventory, and fulfillment for ongoing needs."
"b007bc36-7115-468d-9aa3-59a23d153c6d","Hair Color","Hair Color is a personal care service that helps individuals improve appearance or wellbeing through grooming, cosmetic services, or relaxation. It’s commonly used for hair, nails, lashes, skincare, and bodywork services."
"b2cf6063-4db3-425c-bc94-83b87205ac02","Windows (Service)","Windows is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"b3fd000e-973c-4763-bdfd-94eb610c2432","Outdoor Living","Outdoor Living is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"b429bf63-216f-4139-b2cf-ff179ddf302b","Siding Replacement (Service)","Siding Replacement is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"b4392cf2-1956-4e93-ad01-71758fca103b","Interior Design (Service)","Interior Design is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for rooms like living rooms, kitchens, bathrooms, and nurseries."
"b610e82b-5e6a-4ef7-9d4a-482be14a5b88","Basement Desgin","Basement Desgin is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"b6704068-2f43-40ad-a781-a18af3931706","Airbnb Makeovers (Service)","Airbnb Makeovers is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"b6ce86d6-5eaf-42ef-8967-f48117b7223b","General Tile and Terrazzo Contractors (Service)","General Tile and Terrazzo Contractors is a flooring service that helps homeowners and commercial property operators choose and fit floor surfaces that match durability, comfort, and style goals. It’s commonly used for hardwood, tile, carpet, and resilient flooring projects."
"b82f98bb-490a-407b-bd1f-69af20901707","Seasonal / Holiday Decor (Service)","Seasonal / Holiday Decor is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"b83dfee4-e484-44ef-9a4f-460c5b1b4f09","General Other Building Material Dealers (Service)","General Other Building Material Dealers is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"b90e7f6e-8b98-4b44-bc7d-dc05c7d18345","Irrigation System Layout (Service)","Irrigation System Layout is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for rooms like living rooms, kitchens, bathrooms, and nurseries."
"ba3c1f87-ce88-4004-bd1e-0cdb90ac34b7","General Paint and Coating Manufacturing (Service)","General Paint and Coating Manufacturing is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for made‑to‑spec parts, production runs, and finished goods."
"bc714120-3317-4523-908d-495e54bdbbd9","General Beauty Salons (Service)","General Beauty Salons is a personal care service that helps individuals improve appearance or wellbeing through grooming, cosmetic services, or relaxation. It’s commonly used for hair, nails, lashes, skincare, and bodywork services."
"bf846ea8-00ac-4a15-b726-48c1089dab00","Roof Replacement Design (Service)","Roof Replacement Design is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for rooms like living rooms, kitchens, bathrooms, and nurseries."
"c1266003-2c8e-421e-b576-a1a0b023d9cc","Outdoor Kitchens (Service)","Outdoor Kitchens is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"c1af6cc6-8d85-4938-ab7e-a8e610f523f3","Furniture (Service)","Furniture is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"c215ec0c-ac1a-44af-b40b-f13819501439","Facial Hair","Facial Hair is a personal care service that helps individuals improve appearance or wellbeing through grooming, cosmetic services, or relaxation. It’s commonly used for hair, nails, lashes, skincare, and bodywork services."
"c56675af-1dba-4fa0-b426-eb8f3a928c17","Hot Tubs (Service)","Hot Tubs is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"ca74a853-8480-403d-909c-d407ba6757fa","Patio & Deck Design (Service)","Patio & Deck Design is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for patios, decks, courtyards, and other outdoor areas."
"cc3c182a-d25b-4a6e-8861-4cbeb1c4cd9d","General Automobile and Other Motor Vehicle Merchant Wholesalers","General Automobile and Other Motor Vehicle Merchant Wholesalers is a wholesale supply service that helps retailers, contractors, and businesses source the right products reliably and keep projects or shelves stocked. It’s commonly used for materials, inventory, and fulfillment for ongoing needs."
"cd792eb4-fbd4-4bec-8ee0-89acfbfde190","General Water Supply and Irrigation Systems (Service)","General Water Supply and Irrigation Systems is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"d2d382c9-bff7-4702-a04c-3c4c866602ed","Nail color tryons (Service)","Nail color tryons is a personal care service that helps individuals improve appearance or wellbeing through grooming, cosmetic services, or relaxation. It’s commonly used for hair, nails, lashes, skincare, and bodywork services."
"d3e56e02-a703-41ef-9fd5-1481763bd4a7","General Other Personal and Household Goods Repair and Maintenance (Service)","General Other Personal and Household Goods Repair and Maintenance is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"d3e7bf59-174b-4f56-9b98-8ae8dc90cc72","Salon Interior","Salon Interior is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for rooms like living rooms, kitchens, bathrooms, and nurseries."
"d4e6e9a2-89e6-4358-bef5-2deb5d26ce4c","Pool Design","Pool Design is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for rooms like living rooms, kitchens, bathrooms, and nurseries."
"d59017d8-8fa9-4d1a-a05d-aca761e5c530","General Landscaping Services (Service)","General Landscaping Services is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"d7e635de-ab53-4803-a591-64c4784ee188","General Roofing Contractors (Service)","General Roofing Contractors is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"d9e6c1f1-91d3-4b25-95c9-76010470995f","Land / Lot Planning (Service)","Land / Lot Planning is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for rooms like living rooms, kitchens, bathrooms, and nurseries."
"dab3d2e2-3a88-4063-a290-1a9320273a4a","General Wood Preservation (Service)","General Wood Preservation is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"dbad2937-233b-4e88-ab8b-ec3e2271c4ed","Prosthetics (Service)","Prosthetics is a healthcare service that helps patients address a health or cosmetic concern with professional evaluation and treatment. It’s commonly used for consultations, procedures, and ongoing care."
"dc235718-bf03-4915-9bbd-4d29e0022211","Greenhouse (Service)","Greenhouse is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"dea81cf8-6ac8-43c1-b92b-094b7f0144ad","General All Other Specialty Trade Contractors (Service)","General All Other Specialty Trade Contractors is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"df4ad8a8-8290-434b-a0ff-64482a9bd236","General Textile and Fabric Finishing Mills (Service)","General Textile and Fabric Finishing Mills is a flooring service that helps homeowners and commercial property operators choose and fit floor surfaces that match durability, comfort, and style goals. It’s commonly used for hardwood, tile, carpet, and resilient flooring projects."
"df761fd6-25cd-424b-a4ac-8f16a1a95115","Lashes 123","Lashes 123 is a personal care service that helps individuals improve appearance or wellbeing through grooming, cosmetic services, or relaxation. It’s commonly used for hair, nails, lashes, skincare, and bodywork services."
"dfcaea8b-7a61-49fe-93d6-f75929e94d3c","General Vending Machine Operators (Service)","General Vending Machine Operators is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"e1283f23-9584-48dd-8935-75aff1f46557","General Other Specialized Design Services (Service)","General Other Specialized Design Services is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for rooms like living rooms, kitchens, bathrooms, and nurseries."
"e329f004-c8ce-4464-85ea-af89c81557ca","General Full-Service Restaurants (Service)","General Full-Service Restaurants is a food and catering service that helps individuals, event organizers, and businesses provide meals and hospitality that match dietary needs, budgets, and the occasion. It’s commonly used for catering and prepared food."
"e3e9f638-c97b-4b31-8149-3e31cba8bb3b","Wine Cellar (Service)","Wine Cellar is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"e4fc442b-55c4-460a-a18c-410f33c9f4df","Stonework (Service)","Stonework is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"e678041e-7b03-4f7c-b2e9-be71bbeaf38b","General Window Treatment Stores (Service)","General Window Treatment Stores is a window treatment service that helps homeowners and businesses control light, privacy, and style with window coverings that fit the space. It’s commonly used for blinds, shades, drapery, and custom treatments."
"e8589d12-20c3-4ee2-8ead-599057b25c39","Outdoor Lighting (Service)","Outdoor Lighting is an electrical and lighting service that helps homeowners and businesses power spaces safely and support lighting, devices, and modern electrical needs. It’s commonly used for repairs, upgrades, and new electrical work."
"e95db865-c1d2-4d07-8661-1ed3424e7248","General Pet and Pet Supplies Stores","General Pet and Pet Supplies Stores is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"ea622a5c-04f1-4ee4-856d-c29ab46c6f90","General Glass Product Manufacturing Made of Purchased Glass","General Glass Product Manufacturing Made of Purchased Glass is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for made‑to‑spec parts, production runs, and finished goods."
"eaa71dd6-c908-44d6-88c3-2086c55813c7","Architecture","Architecture is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for rooms like living rooms, kitchens, bathrooms, and nurseries."
"eba4bf01-0d08-4fcb-809c-808d8227fe0b","Campground Layout (Service)","Campground Layout is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for rooms like living rooms, kitchens, bathrooms, and nurseries."
"ec6f4306-6290-4ddf-9c8b-31625c028919","General Site Preparation Contractors (Service)","General Site Preparation Contractors is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"ecc9a15f-7446-48d2-9b5c-efd14ca8e47f","General Home Centers","General Home Centers is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"ee70f353-c48e-4bd9-bfc1-cf1b00291fa9","Landscaping (Service)","Landscaping is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"eef45aa4-5a78-48b6-8cb9-1531d06479f4","General Flooring Contractors (Service)","General Flooring Contractors is a flooring service that helps homeowners and commercial property operators choose and fit floor surfaces that match durability, comfort, and style goals. It’s commonly used for hardwood, tile, carpet, and resilient flooring projects."
"efc13501-1feb-45d2-ae69-d5cf9a2a0eea","Security","Security is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"f2811f29-9748-4cd5-a374-cc39e2b61fc5","General Lessors of Other Real Estate Property","General Lessors of Other Real Estate Property is a real estate service that helps buyers, sellers, and landlords price, market, and transact property with clearer decisions and better outcomes. It’s commonly used for sales, leasing, and property marketing."
"f4fb9493-e98a-4851-8e7c-ce3e8dfbf109","Sauna (Service)","Sauna is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"f5d0c309-bf6a-4e8e-b79d-8202ff139542","Mancave (Service)","Mancave is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"f692a951-9b26-4f5a-a92e-3bcd7f7ae182","Microblading (Service)","Microblading is a personal care service that helps individuals improve appearance or wellbeing through grooming, cosmetic services, or relaxation. It’s commonly used for hair, nails, lashes, skincare, and bodywork services."
"f6be0c14-6afa-4e7c-a1e2-d856c48fa6e1","Virtual Staging (Service)","Virtual Staging is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for rooms like living rooms, kitchens, bathrooms, and nurseries."
"f779c5fc-3ec2-4dd6-b9bb-6cd88018b8f6","General Other Concrete Product Manufacturing (Service)","General Other Concrete Product Manufacturing is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for made‑to‑spec parts, production runs, and finished goods."
"f77ebfd7-4b9f-4151-ae9e-185883efe92b","Artwork & Wall Decor (Service)","Artwork & Wall Decor is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"f790dbc2-2cf7-4a58-9cd5-9c3106a27de3","General Plastics Plumbing Fixture Manufacturing (Service)","General Plastics Plumbing Fixture Manufacturing is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for made‑to‑spec parts, production runs, and finished goods."
"fc6ae5e0-fa7a-43a3-8ad5-fe293df29132","Custom Tailoring (Service)","Custom Tailoring is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"fdc533e7-0a18-4bb4-95b8-306659f1991f","General Drywall and Insulation Contractors (Service)","General Drywall and Insulation Contractors is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"fe4d6c64-aef8-4272-86d7-befa12ed0386","General Wood Window and Door Manufacturing (Service)","General Wood Window and Door Manufacturing is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for made‑to‑spec parts, production runs, and finished goods."
"ff99ccdf-666d-4b69-8053-edf87ec83be3","Tattoo Placement / Design Preview","Tattoo Placement / Design Preview is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for rooms like living rooms, kitchens, bathrooms, and nurseries."
